,ID,metro_kremlin,house_kremlin,sq,floor,height,price,deposit,rooms,child,animal,euro,design,cosmetic,no_rem,area_code_skl,type_h_skl
4046,271305623,1.661,0.534,122.0,2,5,570000,570000,3.0,0,0,0,1,0,0,6.0,4.0
6118,273785178,1.868,1.868,250.0,3,9,570000,570000,5.0,1,0,1,0,0,0,6.0,4.0
3974,271292203,1.868,2.794,205.0,5,10,570000,570000,5.0,1,0,1,0,0,0,6.0,4.0
17064,271488881,3.312,2.794,200.0,5,8,570000,570000,4.0,1,0,0,0,0,0,6.0,2.0
16985,271024156,15.98,2.794,203.0,5,10,570000,570000,5.0,0,1,0,0,0,0,6.0,2.0
3968,274486923,4.891,2.794,203.0,5,10,570000,570000,5.0,1,1,0,1,0,0,6.0,4.0
9848,239362919,7.699,10.485,301.0,23,23,562000,562000,6.0,1,0,0,1,0,0,8.0,2.0
13864,250854170,13.184,10.366,420.0,4,4,555000,500000,6.0,1,1,1,0,0,0,1.0,3.0
97,271988698,2.224,2.41,174.0,10,16,550000,550000,3.0,1,1,0,1,0,0,6.0,3.0
17022,272799522,2.44,2.729,174.0,3,12,550000,550000,4.0,1,1,0,1,0,0,6.0,4.0
17103,272365030,1.957,2.729,174.0,3,12,550000,550000,4.0,0,0,1,0,0,0,6.0,1.0
12471,273393105,1.315,1.663,207.8,4,7,550000,550000,5.0,1,1,0,1,0,0,6.0,4.0
17044,271583581,1.698,2.729,176.0,3,12,550000,550000,4.0,0,0,0,1,0,0,6.0,4.0
183,265591858,2.224,2.41,173.1,10,16,550000,550000,3.0,1,0,0,1,0,0,6.0,3.0
7346,274498337,2.466,2.328,185.0,9,9,550000,550000,3.0,1,0,1,0,0,0,6.0,2.0
3977,272559993,2.29,1.595,227.0,6,7,550000,550000,5.0,0,0,0,1,0,0,6.0,4.0
11995,274416985,6.722,8.031,242.0,24,50,550000,550000,6.0,0,0,0,1,0,0,3.0,4.0
3409,273871543,6.686,6.507,200.0,25,53,550000,550000,4.0,0,0,0,1,0,0,1.0,4.0
9969,273361097,10.214,9.992,280.0,1,4,550000,550000,5.0,1,1,1,0,0,0,5.0,4.0
3410,274084480,6.686,6.507,200.0,25,53,550000,550000,4.0,1,1,0,1,0,0,1.0,3.0
3504,273859909,3.602,6.507,200.0,25,54,550000,550000,4.0,0,0,0,0,0,0,1.0,3.0
12841,273622994,15.582,7.797,150.0,5,10,550000,550000,3.0,1,0,0,1,0,0,3.0,3.0
3554,273379802,11.095,6.507,200.0,11,53,550000,550000,4.0,1,0,0,1,0,0,1.0,3.0
7249,273924807,4.361,4.361,190.0,4,32,550000,550000,3.0,1,0,1,0,0,0,6.0,4.0
182,271499362,1.315,1.275,209.0,5,9,550000,650000,4.0,1,0,0,0,1,0,6.0,3.0
3460,273977417,8.343,6.507,200.0,25,32,550000,550000,4.0,1,1,1,0,0,0,1.0,3.0
12528,274790341,1.315,1.315,210.8,6,6,550000,550000,4.0,1,1,0,1,0,0,6.0,4.0
12458,274575620,1.315,1.663,220.0,3,8,550000,550000,5.0,0,0,0,1,0,0,6.0,4.0
434,273636937,2.076,2.164,312.0,4,5,550000,550000,6.0,1,1,1,0,0,0,6.0,1.0
13949,256860331,13.184,10.889,230.0,1,2,550000,550000,5.0,1,1,1,0,0,0,1.0,3.0
16994,271802808,2.44,0.6,80.3,5,12,550000,550000,2.0,1,1,0,1,0,0,6.0,3.0
302,272948850,2.537,2.164,312.0,4,5,550000,550000,6.0,0,0,1,0,0,0,6.0,4.0
128,273970263,0.593,1.525,195.0,7,7,520000,520000,4.0,0,0,0,1,0,0,6.0,1.0
96,256631457,0.593,1.525,190.0,7,7,520000,520000,4.0,1,0,0,0,0,0,6.0,1.0
8490,269729925,10.393,10.393,300.0,13,30,510000,510000,5.0,1,1,1,0,0,0,5.0,4.0
11763,269578057,11.095,11.316,300.0,29,30,500000,500000,5.0,0,0,0,1,0,0,1.0,4.0
8549,263102403,11.789,11.789,300.0,13,34,500000,500000,5.0,1,0,1,0,0,0,5.0,3.0
11255,261352942,8.242,9.082,410.0,6,18,500000,500000,5.0,1,1,0,0,0,0,8.0,2.0
9770,261456400,11.759,9.082,402.0,6,18,500000,500000,5.0,0,0,0,0,0,0,8.0,2.0
3996,273682258,2.44,36.32,140.0,3,6,500000,500000,4.0,1,0,0,0,1,0,6.0,1.0
4061,266776436,1.315,1.904,140.0,2,7,500000,500000,3.0,1,0,0,1,0,0,6.0,2.0
73,274105576,2.224,2.509,204.0,2,13,500000,500000,5.0,1,1,1,0,0,0,6.0,4.0
60,274140104,2.224,2.509,204.0,2,14,500000,500000,5.0,1,1,0,0,0,0,6.0,3.0
3991,274575615,2.334,36.32,138.0,3,5,500000,500000,4.0,0,0,0,1,0,0,6.0,4.0
10500,273597995,8.343,8.675,108.0,16,39,500000,500000,3.0,1,1,1,0,0,0,1.0,4.0
11717,255265103,11.095,11.316,295.0,29,30,500000,500000,6.0,1,0,0,1,0,0,1.0,2.0
179,274431441,0.593,1.782,300.0,6,6,500000,500000,4.0,1,1,1,0,0,0,6.0,4.0
15426,267130379,1.668,2.046,229.0,8,9,500000,500000,5.0,0,0,0,1,0,0,6.0,4.0
